,word1,word2,similarity
0,kærlighed,sex,0.6769999999999999
1,tiger,kat,0.735
2,tiger,tiger,1.0
3,bog,papir,0.746
4,computer,tastatur,0.762
5,computer,internet,0.758
6,fly,bil,0.577
7,tog,bil,0.631
8,telefon,kommunikation,0.75
9,tv,radio,0.6769999999999999
10,medie,radio,0.742
11,narkotika,misbrug,0.6849999999999999
12,brød,smør,0.619
13,agurk,kartoffel,0.592
14,læge,sygeplejerske,0.7
15,professor,læge,0.662
16,studerende,professor,0.6809999999999999
17,klog,studerende,0.462
18,klog,dum,0.581
19,firma,aktie,0.708
20,aktie,marked,0.808
21,aktie,telefon,0.162
22,aktie,CD,0.131
23,aktie,jaguar,0.092
24,aktie,æg,0.181
25,frugtbar,æg,0.669
26,aktie,live,0.373
27,aktie,liv,0.092
28,bog,bibliotek,0.746
29,bank,penge,0.8119999999999999
30,træ,skov,0.773
31,penge,kontanter,0.915
32,professor,agurk,0.031
33,konge,kål,0.023
34,konge,dronning,0.858
35,konge,tårn,0.592
36,biskop,rabbiner,0.669
37,Jerusalem,Israel,0.8460000000000001
38,Jerusalem,Palæstina,0.765
39,hellig,sex,0.162
40,fuck,sex,0.944
41,Maradona,fodbold,0.8619999999999999
42,fodbold,fodbold,0.9029999999999999
43,fodbold,basketball,0.6809999999999999
44,fodbold,tennis,0.663
45,tennis,ketsjer,0.756
46,Arafat,fred,0.673
47,Arafat,terror,0.765
48,Arafat,Jackson,0.25
49,lov,advokat,0.8380000000000001
50,film,stjerne,0.738
51,film,popcorn,0.619
52,film,anmelder,0.673
53,film,teater,0.792
54,fysik,proton,0.8119999999999999
55,fysik,kemi,0.735
56,rum,kemi,0.488
57,alkohol,kemi,0.554
58,vodka,gin,0.8460000000000001
59,vodka,brandy,0.8130000000000001
60,drik,bil,0.304
61,drik,øre,0.131
62,drik,mund,0.596
63,drik,spise,0.687
64,baby,mor,0.7849999999999999
65,drik,mor,0.265
66,bil,automobil,0.8939999999999999
67,ædelsten,juvel,0.8960000000000001
68,rejse,rejse,0.9289999999999999
69,dreng,fyr,0.883
70,kyst,strand,0.9099999999999999
71,asyl,galehus,0.8869999999999999
72,magiker,troldmand,0.9019999999999999
73,middag,middag,0.9289999999999999
74,ovn,komfur,0.8789999999999999
75,mad,frugt,0.752
76,fugl,hane,0.71
77,fugl,trane,0.738
78,værktøj,redskab,0.646
79,bror,munk,0.627
80,trane,redskab,0.269
81,fyr,bror,0.446
82,rejse,bil,0.585
83,munk,orakel,0.5
84,kirkegård,skov,0.20800000000000002
85,mad,hane,0.442
86,kyst,bakke,0.438
87,skov,kirkegård,0.185
88,strand,skov,0.308
89,munk,slave,0.092
90,kyst,skov,0.315
91,fyr,troldmand,0.092
92,akkord,smil,0.054000000000000006
93,glas,magiker,0.20800000000000002
94,middag,streng,0.054000000000000006
95,hane,rejse,0.062
96,penge,dollar,0.842
97,penge,kontanter,0.908
98,penge,valuta,0.9039999999999999
99,penge,rigdom,0.827
100,penge,ejendom,0.757
101,penge,besiddelse,0.729
102,penge,bank,0.85
103,penge,indbetaling,0.773
104,penge,udbetaling,0.688
105,penge,vaskning,0.5650000000000001
106,penge,operation,0.331
107,tiger,jaguar,0.8
108,tiger,kattedyr,0.8
109,tiger,kødæder,0.708
110,tiger,pattedyr,0.6849999999999999
111,tiger,dyr,0.7
112,tiger,organisme,0.477
113,tiger,dyreliv,0.562
114,tiger,zoo,0.587
115,psykologi,psykiatri,0.808
116,psykologi,angst,0.7
117,psykologi,frygt,0.6849999999999999
118,psykologi,depression,0.742
119,psykologi,klinik,0.658
120,psykologi,læge,0.642
121,psykologi,Freud,0.8210000000000001
122,psykologi,sind,0.769
123,psykologi,helbred,0.7230000000000001
124,psykologi,videnskab,0.671
125,psykologi,disciplin,0.558
126,psykologi,kognition,0.748
127,planet,stjerne,0.845
128,planet,konstellation,0.806
129,planet,måne,0.808
130,planet,sol,0.8019999999999999
131,planet,galakse,0.8109999999999999
132,planet,rum,0.792
133,planet,astronom,0.794
134,forgænger,eksempel,0.585
135,forgænger,information,0.385
136,forgænger,kognition,0.281
137,forgænger,lov,0.665
138,forgænger,samling,0.25
139,forgænger,gruppe,0.177
140,forgænger,efterfølger,0.604
141,kop,kaffe,0.658
142,kop,service,0.6849999999999999
143,kop,artikel,0.24
144,kop,artefakt,0.292
145,kop,objekt,0.369
146,kop,enhed,0.215
147,kop,drik,0.725
148,kop,mad,0.5
149,kop,stof,0.192
150,kop,væske,0.5900000000000001
151,jaguar,kat,0.742
152,jaguar,bil,0.727
153,energi,sekretær,0.181
154,sekretær,senat,0.506
